item_id;koppel_id;sentence_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb;overall_id
NA;NA;1;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;1;NA;koop;maan;filler;NA;NA;NA;NA;NA
NA;NA;1;NA;een;ik;filler;NA;NA;NA;NA;NA
NA;NA;1;NA;auto.;daar.;filler;NA;NA;NA;NA;NA
NA;NA;2;NA;Morgen;xxx;filler;NA;NA;NA;NA;NA
NA;NA;2;NA;wordt;roos;filler;NA;NA;NA;NA;NA
NA;NA;2;NA;het;vis;filler;NA;NA;NA;NA;NA
NA;NA;2;NA;mooi;loopt;filler;NA;NA;NA;NA;NA
NA;NA;2;NA;weer.;veel.;filler;NA;NA;NA;NA;NA
NA;NA;3;NA;Hij ;xxx;filler;NA;NA;NA;NA;NA
NA;NA;3;NA;hakt;zon;filler;NA;NA;NA;NA;NA
NA;NA;3;NA;het;is;filler;NA;NA;NA;NA;NA
NA;NA;3;NA;hout.;diep.;filler;NA;NA;NA;NA;NA
NA;NA;4;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;4;NA;gaan;zomer;filler;NA;NA;NA;NA;NA
NA;NA;4;NA;morgen;kamer;filler;NA;NA;NA;NA;NA
NA;NA;4;NA;vroeg;jij;filler;NA;NA;NA;NA;NA
NA;NA;4;NA;weg.;dak.;filler;NA;NA;NA;NA;NA
NA;NA;5;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;5;NA;loopt;muur;filler;NA;NA;NA;NA;NA
NA;NA;5;NA;naar;jij;filler;NA;NA;NA;NA;NA
NA;NA;5;NA;de;wast;filler;NA;NA;NA;NA;NA
NA;NA;5;NA;winkel.;graag.;filler;NA;NA;NA;NA;NA
NA;NA;6;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;6;NA;trein;soms;filler;NA;NA;NA;NA;NA
NA;NA;6;NA;komt;al;filler;NA;NA;NA;NA;NA
NA;NA;6;NA;laat.;maakt.;filler;NA;NA;NA;NA;NA
NA;NA;7;NA;Ze;xxx;filler;NA;NA;NA;NA;NA
NA;NA;7;NA;kijkt;s avonds;filler;NA;NA;NA;NA;NA
NA;NA;7;NA;naar;schijnt;filler;NA;NA;NA;NA;NA
NA;NA;7;NA;de;nooit;filler;NA;NA;NA;NA;NA
NA;NA;7;NA;maan.;blaft.;filler;NA;NA;NA;NA;NA
NA;NA;8;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;8;NA;eten;veel;filler;NA;NA;NA;NA;NA
NA;NA;8;NA;smaakt;vroeg;filler;NA;NA;NA;NA;NA
NA;NA;8;NA;erg;weg;filler;NA;NA;NA;NA;NA
NA;NA;8;NA;lekker.;hij.;filler;NA;NA;NA;NA;NA
NA;NA;9;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;9;NA;schrijf;verder;filler;NA;NA;NA;NA;NA
NA;NA;9;NA;een;heeft;filler;NA;NA;NA;NA;NA
NA;NA;9;NA;verhaal.;doen.;filler;NA;NA;NA;NA;NA
NA;NA;10;NA;Wij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;10;NA;gaan;over;filler;NA;NA;NA;NA;NA
NA;NA;10;NA;naar;ben;filler;NA;NA;NA;NA;NA
NA;NA;10;NA;huis.;dicht.;filler;NA;NA;NA;NA;NA
NA;NA;11;NA;Haar;xxx;filler;NA;NA;NA;NA;NA
NA;NA;11;NA;schoenen;hem;filler;NA;NA;NA;NA;NA
NA;NA;11;NA;zijn;fijn;filler;NA;NA;NA;NA;NA
