item_id;koppel_id;overall_id;sentence_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb
1;1;1;1;1;Pieter;xxx;LA;L;A;prime;zitten
1;1;1;1;2;zit;wie;LA;L;A;prime;zitten
1;1;1;1;3;op;gooit;LA;L;A;prime;zitten
1;1;1;1;4;het;niet;LA;L;A;prime;zitten
1;1;1;1;5;dak.;het.;LA;L;A;prime;zitten
1;1;2;2;1;Tom;xxx;LA;L;A;target;zitten
1;1;2;2;2;zit;blauw;LA;L;A;target;zitten
1;1;2;2;3;te;huis;LA;L;A;target;zitten
1;1;2;2;4;studeren.;nergens.;LA;L;A;target;zitten
1;2;3;3;1;Emma;xxx;AL;A;L;prime;zitten
1;2;3;3;2;zit;lip;AL;A;L;prime;zitten
1;2;3;3;3;te;pen;AL;A;L;prime;zitten
1;2;3;3;4;schrijven.;beter.;AL;A;L;prime;zitten
1;2;4;4;1;Daan;xxx;AL;A;L;target;zitten
1;2;4;4;2;zit;hoe;AL;A;L;target;zitten
1;2;4;4;3;in;danst;AL;A;L;target;zitten
1;2;4;4;4;de;hij;AL;A;L;target;zitten
1;2;4;4;5;bus.;wat.;AL;A;L;target;zitten
2;3;5;5;1;Ik;xxx;UL;U;L;prime;zitten
2;3;5;5;2;hou;thuis;UL;U;L;prime;zitten
2;3;5;5;3;van;rond;UL;U;L;prime;zitten
2;3;5;5;4;warme;ziet;UL;U;L;prime;zitten
2;3;5;5;5;koffie.;werkt.;UL;U;L;prime;zitten
2;3;6;6;1;Lisa;xxx;UL;U;L;target;zitten
2;3;6;6;2;zit;twee;UL;U;L;target;zitten
2;3;6;6;3;in;gaat;UL;U;L;target;zitten
2;3;6;6;4;de;snel;UL;U;L;target;zitten
2;3;6;6;5;auto.;niet.;UL;U;L;target;zitten
2;4;7;7;1;Daan;xxx;AA;A;A;prime;zitten
2;4;7;7;2;zit;ver;AA;A;A;prime;zitten
2;4;7;7;3;te;hoort;AA;A;A;prime;zitten
2;4;7;7;4;eten.;rood.;AA;A;A;prime;zitten
2;4;8;8;1;Sarah;xxx;AA;A;A;target;zitten
2;4;8;8;2;zit;hij;AA;A;A;target;zitten
2;4;8;8;3;te;denkt;AA;A;A;target;zitten
2;4;8;8;4;zingen.;dit.;AA;A;A;target;zitten
3;5;9;9;1;Het;xxx;UA;U;A;prime;zitten
3;5;9;9;2;kind;vaak;UA;U;A;prime;zitten
3;5;9;9;3;gooit;oranje;UA;U;A;prime;zitten
3;5;9;9;4;de;zat;UA;U;A;prime;zitten
3;5;9;9;5;bal.;verre.;UA;U;A;prime;zitten
3;5;10;10;1;Pieter;xxx;UA;U;A;target;zitten
3;5;10;10;2;zit;lek;UA;U;A;target;zitten
3;5;10;10;3;te;gaf;UA;U;A;target;zitten
3;5;10;10;4;tekenen.;schaap.;UA;U;A;target;zitten
3;6;11;11;1;Jan;xxx;LL;L;L;prime;zitten
3;6;11;11;2;zit;hij;LL;L;L;prime;zitten
3;6;11;11;3;op;gaat;LL;L;L;prime;zitten
3;6;11;11;4;de;morgen;LL;L;L;prime;zitten
3;6;11;11;5;stoel.;zwemmen.;LL;L;L;prime;zitten
3;6;12;12;1;Emma;xxx;LL;L;L;target;zitten
3;6;12;12;2;zit;soms;LL;L;L;target;zitten
3;6;12;12;3;op;loopt;LL;L;L;target;zitten
3;6;12;12;4;het;zij;LL;L;L;target;zitten
3;6;12;12;5;gras.;graag.;LL;L;L;target;zitten
4;7;13;13;1;Rick;xxx;AL;A;L;prime;staan
4;7;13;13;2;staat;hond;AL;A;L;prime;staan
4;7;13;13;3;te;plof;AL;A;L;prime;staan
4;7;13;13;4;zwaaien.;gebied.;AL;A;L;prime;staan
4;7;14;14;1;Paul;xxx;AL;A;L;target;staan
4;7;14;14;2;staat;deze;AL;A;L;target;staan
4;7;14;14;3;in;stad;AL;A;L;target;staan
