item_id;koppel_id;overall_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb;sentence_id
1;37;1;1;Pieter;xxx;LL;L;L;prime;zitten;1
1;37;1;2;zit;wie;LL;L;L;prime;zitten;1
1;37;1;3;op;gooit;LL;L;L;prime;zitten;1
1;37;1;4;het;niet;LL;L;L;prime;zitten;1
1;37;1;5;dak.;het.;LL;L;L;prime;zitten;1
1;37;4;1;Daan;xxx;LL;L;L;target;zitten;2
1;37;4;2;zit;hoe;LL;L;L;target;zitten;2
1;37;4;3;in;danst;LL;L;L;target;zitten;2
1;37;4;4;de;hij;LL;L;L;target;zitten;2
1;37;4;5;bus.;wat.;LL;L;L;target;zitten;2
1;38;73;1;Het;xxx;UA;U;A;prime;zitten;3
1;38;73;2;regent;soms;UA;U;A;prime;zitten;3
1;38;73;4;de;mier;UA;U;A;prime;zitten;3
1;38;73;5;hele;dreef;UA;U;A;prime;zitten;3
1;38;73;6;dag.;testte.;UA;U;A;prime;zitten;3
1;38;2;1;Tom;xxx;UA;U;A;target;zitten;4
1;38;2;2;zit;blauw;UA;U;A;target;zitten;4
1;38;2;3;te;huis;UA;U;A;target;zitten;4
1;38;2;4;studeren.;nergens.;UA;U;A;target;zitten;4
2;39;74;1;Laura;xxx;LA;L;A;prime;zitten;5
2;39;74;2;zit;tijd;LA;L;A;prime;zitten;5
2;39;74;3;op;heb;LA;L;A;prime;zitten;5
2;39;74;4;de;blok;LA;L;A;prime;zitten;5
2;39;74;5;kist.;treft.;LA;L;A;prime;zitten;5
2;39;8;1;Sarah;xxx;LA;L;A;target;zitten;6
2;39;8;2;zit;hij;LA;L;A;target;zitten;6
2;39;8;3;te;denkt;LA;L;A;target;zitten;6
2;39;8;4;zingen.;dit.;LA;L;A;target;zitten;6
2;40;7;1;Daan;xxx;AL;A;L;prime;zitten;7
2;40;7;2;zit;ver;AL;A;L;prime;zitten;7
2;40;7;3;te;hoort;AL;A;L;prime;zitten;7
2;40;7;4;eten.;rood.;AL;A;L;prime;zitten;7
2;40;6;1;Lisa;xxx;AL;A;L;target;zitten;8
2;40;6;2;zit;twee;AL;A;L;target;zitten;8
2;40;6;3;in;gaat;AL;A;L;target;zitten;8
2;40;6;4;de;snel;AL;A;L;target;zitten;8
2;40;6;5;auto.;niet.;AL;A;L;target;zitten;8
3;41;9;1;Het;xxx;UL;U;L;prime;zitten;9
3;41;9;2;kind;vaak;UL;U;L;prime;zitten;9
3;41;9;3;gooit;oranje;UL;U;L;prime;zitten;9
3;41;9;4;de;zat;UL;U;L;prime;zitten;9
3;41;9;5;bal.;verre.;UL;U;L;prime;zitten;9
3;41;12;1;Emma;xxx;UL;U;L;target;zitten;10
3;41;12;2;zit;soms;UL;U;L;target;zitten;10
3;41;12;3;op;loopt;UL;U;L;target;zitten;10
3;41;12;4;het;zij;UL;U;L;target;zitten;10
3;41;12;5;gras.;graag.;UL;U;L;target;zitten;10
3;42;75;1;Lisa;xxx;AA;A;A;prime;zitten;11
3;42;75;2;zit;hem;AA;A;A;prime;zitten;11
3;42;75;3;te;erf;AA;A;A;prime;zitten;11
3;42;75;4;fluisteren.;plafond.;AA;A;A;prime;zitten;11
3;42;10;1;Pieter;xxx;AA;A;A;target;zitten;12
3;42;10;2;zit;lek;AA;A;A;target;zitten;12
3;42;10;3;te;gaf;AA;A;A;target;zitten;12
3;42;10;4;tekenen.;deurknop.;AA;A;A;target;zitten;12
4;43;76;1;De;xxx;UA;U;A;prime;staan;13
4;43;76;2;trein;bukt;UA;U;A;prime;staan;13
4;43;76;3;komt;vaak;UA;U;A;prime;staan;13
4;43;76;4;laat.;drie.;UA;U;A;prime;staan;13
4;43;16;1;Sam;xxx;UA;U;A;target;staan;14
4;43;16;2;staat;andere;UA;U;A;target;staan;14
4;43;16;3;te;hip;UA;U;A;target;staan;14
4;43;16;4;praten.;bloempot.;UA;U;A;target;staan;14
4;44;15;1;David;xxx;LL;L;L;prime;staan;15
4;44;15;2;staat;rond;LL;L;L;prime;staan;15
4;44;15;3;bij;tof;LL;L;L;prime;staan;15
4;44;15;4;de;hier;LL;L;L;prime;staan;15
4;44;15;5;kast.;heet.;LL;L;L;prime;staan;15
4;44;14;1;Paul;xxx;LL;L;L;target;staan;16
4;44;14;2;staat;deze;LL;L;L;target;staan;16
4;44;14;3;in;stad;LL;L;L;target;staan;16
4;44;14;4;de;zwemt;LL;L;L;target;staan;16
4;44;14;5;tuin.;jouw.;LL;L;L;target;staan;16
5;45;17;1;Paul;xxx;AL;A;L;prime;staan;17
5;45;17;2;staat;bos;AL;A;L;prime;staan;17
5;45;17;3;te;kookt;AL;A;L;prime;staan;17
5;45;17;4;lachen.;zwaar.;AL;A;L;prime;staan;17
5;45;20;1;Sam;xxx;AL;A;L;target;staan;18
5;45;20;2;staat;deuren;AL;A;L;target;staan;18
5;45;20;3;bij;glas;AL;A;L;target;staan;18
5;45;20;4;de;er;AL;A;L;target;staan;18
5;45;20;5;muur.;liepen.;AL;A;L;target;staan;18
5;46;77;1;Sophie;xxx;LA;L;A;prime;staan;19
5;46;77;2;staat;klont;LA;L;A;prime;staan;19
5;46;77;3;op;verg;LA;L;A;prime;staan;19
5;46;77;4;het;kurk;LA;L;A;prime;staan;19
5;46;77;5;podium.;snijden.;LA;L;A;prime;staan;19
5;46;18;1;Femke;xxx;LA;L;A;target;staan;20
5;46;18;2;staat;mus;LA;L;A;target;staan;20
5;46;18;3;te;jas;LA;L;A;target;staan;20
5;46;18;4;dansen.;klein.;LA;L;A;target;staan;20
6;47;78;1;Mark;xxx;AA;A;A;prime;staan;21
6;47;78;2;staat;lepel;AA;A;A;prime;staan;21
6;47;78;3;te;legt;AA;A;A;prime;staan;21
6;47;78;4;roepen.;vlinder.;AA;A;A;prime;staan;21
6;47;24;1;Sophie;xxx;AA;A;A;target;staan;22
6;47;24;2;staat;donker;AA;A;A;target;staan;22
6;47;24;3;te;rent;AA;A;A;target;staan;22
6;47;24;4;koken.;tasje.;AA;A;A;target;staan;22
6;48;23;1;De;xxx;UL;U;L;prime;staan;23
6;48;23;2;hond;dit;UL;U;L;prime;staan;23
6;48;23;3;blaft;maan;UL;U;L;prime;staan;23
6;48;23;4;hard.;boter.;UL;U;L;prime;staan;23
6;48;22;1;Rick;xxx;UL;U;L;target;staan;24
6;48;22;2;staat;goed;UL;U;L;target;staan;24
6;48;22;3;naast;kijkt;UL;U;L;target;staan;24
6;48;22;4;de;nu;UL;U;L;target;staan;24
6;48;22;5;deur.;groot.;UL;U;L;target;staan;24
7;49;25;1;Floor;xxx;LL;L;L;prime;liggen;25
7;49;25;2;ligt;mooi;LL;L;L;prime;liggen;25
7;49;25;3;op;tilt;LL;L;L;prime;liggen;25
7;49;25;4;het;vaas;LL;L;L;prime;liggen;25
7;49;25;5;strand.;rolt.;LL;L;L;prime;liggen;25
7;49;28;1;Bram;xxx;LL;L;L;target;liggen;26
7;49;28;2;ligt;tuin;LL;L;L;target;liggen;26
7;49;28;3;op;blijft;LL;L;L;target;liggen;26
7;49;28;4;de;toch;LL;L;L;target;liggen;26
7;49;28;5;grond.;ons.;LL;L;L;target;liggen;26
7;50;79;1;De;xxx;UA;U;A;prime;liggen;27
7;50;79;2;auto;openen;UA;U;A;prime;liggen;27
7;50;79;3;is;lief;UA;U;A;prime;liggen;27
7;50;79;4;kapot;vieren;UA;U;A;prime;liggen;27
7;50;79;5;gegaan.;kaas.;UA;U;A;prime;liggen;27
7;50;26;1;Els;xxx;UA;U;A;target;liggen;28
7;50;26;2;ligt;wijs;UA;U;A;target;liggen;28
7;50;26;3;te;komt;UA;U;A;target;liggen;28
7;50;26;4;huilen.;deur.;UA;U;A;target;liggen;28
8;51;80;1;Mia;xxx;LA;L;A;prime;liggen;29
8;51;80;2;ligt;soep;LA;L;A;prime;liggen;29
8;51;80;3;op;hek;LA;L;A;prime;liggen;29
8;51;80;4;het;liep;LA;L;A;prime;liggen;29
8;51;80;5;bed.;aardig.;LA;L;A;prime;liggen;29
8;51;32;1;Tim;xxx;LA;L;A;target;liggen;30
8;51;32;2;ligt;geel;LA;L;A;target;liggen;30
8;51;32;3;te;kat;LA;L;A;target;liggen;30
8;51;32;4;luisteren.;schrift.;LA;L;A;target;liggen;30
8;52;31;1;Noor;xxx;AL;A;L;prime;liggen;31
8;52;31;2;ligt;kruis;AL;A;L;prime;liggen;31
8;52;31;3;te;is;AL;A;L;prime;liggen;31
8;52;31;4;denken.;blikje.;AL;A;L;prime;liggen;31
8;52;30;1;Koen;xxx;AL;A;L;target;liggen;32
8;52;30;2;ligt;haar;AL;A;L;target;liggen;32
8;52;30;3;onder;trapt;AL;A;L;target;liggen;32
8;52;30;4;de;klimt;AL;A;L;target;liggen;32
8;52;30;5;boom.;warm.;AL;A;L;target;liggen;32
9;53;33;1;Hij;xxx;UL;U;L;prime;liggen;33
9;53;33;2;rijdt;bord;UL;U;L;prime;liggen;33
9;53;33;3;naar;regent;UL;U;L;prime;liggen;33
9;53;33;4;zijn;zwart;UL;U;L;prime;liggen;33
9;53;33;5;werk.;gassen.;UL;U;L;prime;liggen;33
